央视频道,#genre#
重庆卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.116:5140
重庆卫视,http://nas.201606.xyz:4022/rtp/239.11.0.116:5140
东南卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.41:5140
东南卫视,http://nas.201606.xyz:4022/rtp/239.11.0.41:5140
甘肃卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.55:5140
甘肃卫视,http://nas.201606.xyz:4022/rtp/239.11.0.55:5140
广西卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.48:5140
广西卫视,http://nas.201606.xyz:4022/rtp/239.11.0.48:5140
贵州卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.51:5140
贵州卫视,http://nas.201606.xyz:4022/rtp/239.11.0.51:5140
河北卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.31:5140
河北卫视,http://nas.201606.xyz:4022/rtp/239.11.0.31:5140
黑龙江卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.36:5140
黑龙江卫视,http://nas.201606.xyz:4022/rtp/239.11.0.36:5140
河南卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.44:5140
河南卫视,http://nas.201606.xyz:4022/rtp/239.11.0.44:5140
湖北卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.74:5140
湖北卫视,http://nas.201606.xyz:4022/rtp/239.11.0.74:5140
江西卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.42:5140
江西卫视,http://nas.201606.xyz:4022/rtp/239.11.0.42:5140
吉林卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.35:5140
吉林卫视,http://nas.201606.xyz:4022/rtp/239.11.0.35:5140
内蒙古卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.33:5140
内蒙古卫视,http://nas.201606.xyz:4022/rtp/239.11.0.33:5140
宁夏卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.57:5140
宁夏卫视,http://nas.201606.xyz:4022/rtp/239.11.0.57:5140
山西卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.32:5140
山西卫视,http://nas.201606.xyz:4022/rtp/239.11.0.32:5140
陕西卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.54:5140
陕西卫视,http://nas.201606.xyz:4022/rtp/239.11.0.54:5140
四川卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.78:5140
四川卫视,http://nas.201606.xyz:4022/rtp/239.11.0.78:5140
新疆卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.58:5140
